symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NASDX,2020-08-13 00:00:00+00:00,25.64,25.64,25.64,25.64,0,25.3039371173,25.3039371173,25.3039371173,25.3039371173,0,0.0,1.0
NASDX,2020-08-14 00:00:00+00:00,25.61,25.61,25.61,25.61,0,25.2743303266,25.2743303266,25.2743303266,25.2743303266,0,0.0,1.0
NASDX,2020-08-17 00:00:00+00:00,25.88,25.88,25.88,25.88,0,25.5407914429,25.5407914429,25.5407914429,25.5407914429,0,0.0,1.0
NASDX,2020-08-18 00:00:00+00:00,26.14,26.14,26.14,26.14,0,25.797383629,25.797383629,25.797383629,25.797383629,0,0.0,1.0
NASDX,2020-08-19 00:00:00+00:00,25.96,25.96,25.96,25.96,0,25.6197428848,25.6197428848,25.6197428848,25.6197428848,0,0.0,1.0
NASDX,2020-08-20 00:00:00+00:00,26.32,26.32,26.32,26.32,0,25.9750243732,25.9750243732,25.9750243732,25.9750243732,0,0.0,1.0
NASDX,2020-08-21 00:00:00+00:00,26.51,26.51,26.51,26.51,0,26.1625340476,26.1625340476,26.1625340476,26.1625340476,0,0.0,1.0
NASDX,2020-08-24 00:00:00+00:00,26.68,26.68,26.68,26.68,0,26.3303058615,26.3303058615,26.3303058615,26.3303058615,0,0.0,1.0
NASDX,2020-08-25 00:00:00+00:00,26.89,26.89,26.89,26.89,0,26.5375533964,26.5375533964,26.5375533964,26.5375533964,0,0.0,1.0
NASDX,2020-08-26 00:00:00+00:00,27.46,27.46,27.46,27.46,0,27.1000824197,27.1000824197,27.1000824197,27.1000824197,0,0.0,1.0
NASDX,2020-08-27 00:00:00+00:00,27.36,27.36,27.36,27.36,0,27.0013931174,27.0013931174,27.0013931174,27.0013931174,0,0.0,1.0
NASDX,2020-08-28 00:00:00+00:00,27.52,27.52,27.52,27.52,0,27.1592960011,27.1592960011,27.1592960011,27.1592960011,0,0.0,1.0
NASDX,2020-08-31 00:00:00+00:00,27.78,27.78,27.78,27.78,0,27.4158881872,27.4158881872,27.4158881872,27.4158881872,0,0.0,1.0
NASDX,2020-09-01 00:00:00+00:00,28.17,28.17,28.17,28.17,0,27.8007764663,27.8007764663,27.8007764663,27.8007764663,0,0.0,1.0
NASDX,2020-09-02 00:00:00+00:00,28.47,28.47,28.47,28.47,0,28.0968443733,28.0968443733,28.0968443733,28.0968443733,0,0.0,1.0
